title,text,category,source
Մադրիդ․ Էլինա Ավանեսյանը հաղթեց աշխարհի 100-րդ ռակետին,"Մադրիդում անցկացվող թենիսի կանանց WTA-125 շարքի մրցաշարի 1/8 եզրափակիչում Հայաստանի ներկայացուցիչ Էլինա Ավանեսյանը 6:2, 6:3 հաշվով հաղթեց աշխարհի 100-րդ ռակետ, բրիտանացի Ֆրանսեսկա Ջոնսին ու դուրս եկավ քառորդ եզրափակիչ:Կիսաեզրափակիչի ուղեգրի համար Էլինա Ավանեսյանը կմրցի աշխարհի 294-րդ ռակետ, իսպանացի Մինտեգի Դել Օլմոյի հետ։1/16 եզրափակիչումԷլինա Ավանեսյանը 6:4, 7:5 հաշվով հաղթել էր աշխարհի 146-րդ ռակետ, իսպանացի Անդրեա Լազարո Գարսիային։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165610/
Հավակնորդների մրցաշար․ 9-րդ տուրի արդյունքները,"Կիպրոսում անցկացվող շախմատի աշխարհի չեմպիոնի հավակնորդների մրցաշարում տեղի են ունեցել 9-րդ տուրի պարտիաները։Միանձնյա առաջատարը ուզբեկ Ջավոխիր Սինդարովն է, որն ունի 7 միավոր։Հավակնորդների մրցաշար, 9-րդ տուրՄատիաս Բլյուբաում (Գերմանիա) - Ջավոխիր Սինդարով (Ուզբեկստան)՝ 0,5:0,5Հիկարու Նակամուրա (ԱՄՆ) - Անդրեյ Եսիպենկո (Ռուսաստան)՝ 0,5:0,5Ֆաբիանո Կարուանա (ԱՄՆ) - Անիշ Գիրի (Նիդերլանդներ)՝ 0:1Ռամեշբաբու Պրագնանանդհա (Հնդկաստան) - Վեյ Յի (Չինաստան)՝ 0,5:0,5Հավակնորդների մրցաշարի հաղթողը տիտղոսը կվիճարկի աշխարհի չեմպիոն, հնդիկ Գուկեշ Դոմարաջուի հետ։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165611/
"ՉԼ․ «Բարսելոնան» պարտվեց «Աթլետիկոյին», «Լիվերպուլը»՝ ՊՍԺ-ին (տեսանյութ)","Ֆուտբոլի Չեմպիոնների լիգայում քառորդ եզրափակիչի առաջին խաղում Իսպանիայի չեմպիոն եւ Լա Լիգայի ընթացիկ առաջատար «Բարսելոնան» ընդունեց Մադրիդի «Աթլետիկոյին» եւ պարտվեց 0:2 հաշվով։44-րդ րոպեին հեռացվեց «Բարսելոնայի» իսպանացի պաշտպան Պաու Կուբարսին։45-րդ րոպեին հանդիպման հաշիվը բացեց «Աթլետիկոյի» արգենտինացի հարձակվող Խուլիան Ալվարեսը։ 70-րդ րոպեին արգենտինացի Դիեգո Սիմեոնեի գլխավորած թիմի առավելությունը կրկնապատկեց նորվեգացի հարձակվող Ալեքսանդր Սյորլոտը։Անգլիայի չեմպիոն «Լիվերպուլը» հյուրընկալվեց  Չեմպիոնների լիգայի տիտղոսը պաշտպանող Ֆրանսիայի չեմպիոն ՊՍԺ-ին եւ պարտություն կրեց 0:2 հաշվով։ Աչքի ընկան ֆրանսիացի հարձակվող Դեզիրե Դուեն եւ վրացի հարձակվող Խվիչա Կվարացխելիան։Չեմպիոնների լիգա, քառորդ եզրափակիչ, առաջին հանդիպում«Բարսելոնա» - «Աթլետիկո Մադրիդ»՝ 0:2 (տեսանյութ)Խուլիան Ալվարես, 45, Ալեքսանդր Սյորլոտ, 70Հեռացում՝ Պաու Կուբարսի («Բարսելոնա»), 44ՊՍԺ - «Լիվերպուլ»՝ 2։0 (տեսանյութ)Դեզիրե Դուե, 11, Խվիչա Կվարացխելիա, 65Պատասխան հանդիպումԱպրիլի 14«Աթլետիկո Մադրիդ» - «Բարսելոնա»՝ 23։00«Լիվերպուլ» - ՊՍԺ՝ 23։00Ապրիլի 15«Արսենալ» - «Սպորտինգ»՝ 23։00 (առաջին խաղ՝ 1:0)«Բավարիա» - «Ռեալ Մադրիդ»՝ 23։00 (առաջին խաղ՝ 2:1)Եզրափակիչը տեղի կունենա մայիսի 30-ին Բուդապեշտում։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165612/
ՉԼ․ Կվարացխելիան փլեյ-օֆֆի 4 անընդմեջ խաղում գոլ խփած ՊՍԺ-ի առաջին խաղացողն է,"Ֆրանսիայի չեմպիոն եւ Չեմպիոնների լիգայի գավաթակիր ՊՍԺ-ի վրացի եզրային հարձակվող Խվիչա Կվարացխելիան դարձել է փարիզյան ակումբի պատմության մեջ առաջին խաղացողը, որի հաջողվում է Չեմպիոնների լիգայի փլեյ-օֆֆի չորս անընդմեջ հանդիպումներում դառնալ գոլի հեղինակ, հաղորդում է Squawka-ն։Քառորդ եզրափակիչի առաջին խաղում ՊՍԺ-ն տանը 2:0 հաշվով պարտության է մատնել Անգլիայի չեմպիոն «Լիվերպուլին»։ 25-ամյա ֆուտբոլիստն աչքի է ընկել 65-րդ րոպեին։Նախորդ երեք հանդիպումներում Կվարացխելիան գոլ էր խփել «Մոնակոյին» (2:2), դուբլի հեղինակ էր դարձել աշխարհի ակումբային չեմպիոն «Չելսիի» դեմ առաջին խաղում (5:2), իսկ «Չելսիի» դեմ պատասխան խաղում խփել էր մեկ գոլ (3:0)։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165613/
ՉԼ․ Շաբաթվա լավագույն խաղացողի մրցանակի հավակնորդները,"Չեմպիոնների լիգայի քառորդ եզրափակիչի առաջին հանդիպումներից հետո ՈՒԵՖԱ-ն հրապարակել է շաբաթվա լավագույն խաղացողի մրցանակի հավակնորդների քառյակը։Մրցանակին հավակնում են Գերմանիայի չեմպիոն Մյունխենի «Բավարիայի» գերմանացի դարպասապահ Մանուել Նոյերը, Ֆրանսիայի չեմպիոն եւ Չեմպիոնների լիգայի գավաթակիր ՊՍԺ-ի վրացի վինգեր Խվիչա Կվարացխելիան, Անգլիայի փոխչեմպիոն Լոնդոնի «Արսենալի» իսպանացի դարպասապահ Դավիդ Ռայան եւ Մադրիդի «Աթլետիկոյի» արգենտինացի հարձակվող Խուլիան Ալվարեսը։Նոյերը Իսպանիայի փոխչեմպիոն Մադրիդի «Ռեալի» դեմ արտագնա խաղում հետ է մղել դարպասին կատարած 9 հարվածից 8-ը։ «Բավարիան» հաղթել է 2:1 հաշվով։Ռայան պորտուգալական «Սպորտինգի» դեմ խաղում գոլ բաց չի թողել եւ կատարել է 5 սեյվ։ «Արսենալը» հաղթել է 1:0 հաշվով։Ալվարեսը գոլ է խփել Իսպանիայի չեմպիոն «Բարսելոնայի» դեմ արտագնա խաղում, «Աթլետիկոն» հաղթել է 2:0 հաշվով։Կվարացխելիան գոլի հեղինակ է դարձել Անգլիայի չեմպիոն «Լիվերպուլի» դեմ տնային խաղում, ՊՍԺ-ն հաղթել է 2:0 հաշվով։Քվեարկությունն անցկացվում է ՈՒԵՖԱ-ի կայքում։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165614/
ՉԼ․ Օրվա լավագույն գոլերն ու սեյվերը (տեսանյութ),"Alvarez curls in stunning free-kick Kvaratskhelia slots in@Heineken | #UCLGOTD pic.twitter.com/uTqBdAvOu6Ֆուտբոլի Չեմպիոնների լիգայում քառորդ եզրափակիչի «Բարսելոնա» - «Աթլետիկո Մադրիդ», ՊՍԺ - «Լիվերպուլ» առաջին հանդիպումներից հետո ՈՒԵՖԱ-ն ներկայացրել է օրվա լավագույն գոլերն ու դարպասապահների սեյվերը։Giorgi Mamardashvili Juan Musso Best save? @qatarairways | #LetsFly pic.twitter.com/KXZWxeyGe9

Չեմպիոնների լիգա, քառորդ եզրափակիչ, առաջին հանդիպում«Բարսելոնա» - «Աթլետիկո Մադրիդ»՝ 0:2 Խուլիան Ալվարես, 45, Ալեքսանդր Սյորլոտ, 70Հեռացում՝ Պաու Կուբարսի («Բարսելոնա»), 44ՊՍԺ - «Լիվերպուլ»՝ 2։0 Դեզիրե Դուե, 11, Խվիչա Կվարացխելիա, 65Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165615/
Միրչա Լուչեսկուին վերջին հրաժեշտն են տվել Բուխարեստի ազգային ստադիոնում,"Ռումինիայի մայրաքաղաք Բուխարեստի ազգային ստադիոնում վերջին հրաժեշտն են տվել ազգային թիմի նախկին գլխավոր մարզիչ Միրչա ԼՈւչեսկուին։ Հրաժեշտի արարողությունը հեռարձակել է Ռումինիայի հեռուստատեսությունը։Այս շաբաթ ՈՒԵՖԱ-ի հովանու ներքո անցկացվող բոլոր մրցաշարերի հանդիպումները սկսվում են մեր րոպե լռությամբ՝ Միրչա Լուչեսկուի հիշատակին։Դոնեցկի «Շախտյորի», Միլանի «Ինտերի» նախկին գլխավոր մարզիչ Միրչա Լուչեսկուն մահացել էր ապրիլի 7-ին Բուխարեստում։ Նա 80 տարեկան էր։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165616/
NBA. Օրվա արդյունքներն ու լավագույն դրվագները (տեսանյութ),"Բասկետբոլի ազգային ասոցիացիայի կանոնավոր առաջնությունում տեղի են ունեցել հերթական հանդիպումները․«Լոս Անջելես Քլիփերս» - «Օկլահոմա Սիթի Թանդեր»՝ 110:128«Ֆինիքս Սանզ» - «Դալլաս Մավերիքս»՝ 112:107«Սան Անտոնիո Սփյորս» - «Պորտլենդ Թրեյլ Բլեյզերս»՝ 112:101«Դենվեր Նագեթս» - «Մեմֆիս Գրիզլիզ»՝ 136:119«Դետրյոթ Փիսթոնս» - «Միլուոկի Բաքս»՝ 137:111«Քլիվլենդ Քավալիերս» - «Ատլանտա Հոուքս»՝ 122:116«Օռլանդո Մեջիք» - «Մինեսոտա Թիմբերվուլվզ»՝ 132:120Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165617/
UFC նախագահ․ Ես հավանում եմ Արման Ծառուկյանի արածը,"Խառը մենամարտերի UFC նախագահ Դանա Ուայթը գովել է թեթեւ քաշային կարգում UFC դասակարգման երկրորդ համար Արման Ծառուկյանին (Հայաստան)։«Ես հավանում եմ Արման Ծառուկյանի արածը։ Նա մնում է ակտիվ։ Տեսնենք, թե ինչ կլինի հետագայում։ UFC-ի ամեն մրցաշարից հետո դասավորվածությունը փոխվում է։ Պարզապես, Արմանը պետք է խելագար չլինի, երբ գալիս է UFC-ի մրցաշարի»,- ասել է Ուայթը Էդին Ռոսի հետ զրույցում։Ավելի վաղ Ուայթը դժգոհել էր Արման Ծառուկյանի վարքից։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165618/
Ֆլիկը քննադատել է «Բարսելոնա» - «Աթլետիկո» հանդիպման մրցավարներին,"Իսպանիայի չեմպիոն «Բարսելոնայի» գերմանացի գլխավոր մարզիչ Հանս-Դիտեր Ֆլիկը քննադատել է մրցավարությունը Մադրիդի «Աթլետիկոյի» դեմ Չեմպիոնների լիգայի առաջին խաղում։ Կատալոնական թիմը տանը պարտվել է 0:2 հաշվով։«Աթլետիկոյի» պաշտպան Մարկ Պուբիլը սեփական տուգանային հրապարակում ձեռքով կասեցրել էր գնդակը, երբ այն խաղի մեջ էր մտցրել մադրիդյան թիմի դարպասապահ Խուան Մուսոն, սակայն չէր զգուշացվել դեղին քարտով, որը նրա համար կլիներ երկրորդը եւ կհեռացվեր։«Չեմ հասկանում՝ ինչ է կատարվում մի իրավիճակում, երբ դարպասապահը սկսում է խաղը, իսկ պաշտպանը ձեռքով կանգնեցնում է գնդակը եւ նորից այն մտցնում է խաղից հետո։Ինձ համար դա ակնհայտ երկրորդ դեղին քարտ էր եւ 11-մետրանոց։ VAR-ի մրցավարները պետք է բացատրեն, թե ինչու այդ դրվագը չի քննարկվել իրենց կողմից։Չեմ կարող հավատալ, որ այդտես չկար դեղին քարտ, իսկ նրա դեպքում դա կլիներ հեռացում։ Սա անարդար է։ Պետք է ընդունենք այս հաշիվը եւ պայքարենք պատասխան խաղում»,- Ֆլիկի խոսքը մեջբերում է ESPN-ը։44-րդ րոպեին կարմիր քարտ էր ստացել «Բարսելոնայի» իսպանացի պաշտպան Պաու Կուբարսին։Պատասխան հանդիպումը Մադրիդում տեղի կունենա ապրիլի 14-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165619/
